
ID_COMMANDE, ID_CLIENT,DATE_COMMANDE     ,     TOTAL
-----------,----------,------------------,----------
          1,         1,07-DEC-25         ,      1200
          2,         2,10-DEC-25         ,       900
          3,         3,12-DEC-25         ,        80
          4,         4,14-DEC-25         ,        45
          5,         5,17-DEC-25         ,      1500
          6,         6,20-DEC-25         ,       180
          7,         7,22-DEC-25         ,        25
          8,         8,24-DEC-25         ,        60
          9,         9,27-DEC-25         ,       220
         10,        10,29-DEC-25         ,        15
